result,elapsed_ns
SUCCESS,14600
SUCCESS,12400
SUCCESS,12200
SUCCESS,12500
SUCCESS,12400
SUCCESS,12300
SUCCESS,15600
SUCCESS,12501
SUCCESS,13400
SUCCESS,25100
SUCCESS,23000
SUCCESS,23500
SUCCESS,18300
SUCCESS,12900
SUCCESS,12600
SUCCESS,12100
SUCCESS,12499
SUCCESS,12200
SUCCESS,12200
SUCCESS,12100
SUCCESS,12499
SUCCESS,12600
SUCCESS,12900
SUCCESS,26101
SUCCESS,17900
SUCCESS,12900
SUCCESS,12400
SUCCESS,12200
SUCCESS,12300
SUCCESS,12600
SUCCESS,16800
SUCCESS,27200
SUCCESS,25900
SUCCESS,23199
SUCCESS,21800
SUCCESS,35701
SUCCESS,21500
SUCCESS,21200
SUCCESS,23500
SUCCESS,24800
SUCCESS,28999
SUCCESS,16000
SUCCESS,12900
SUCCESS,12900
SUCCESS,12900
SUCCESS,12400
SUCCESS,12300
SUCCESS,12299
SUCCESS,12900
SUCCESS,12801
SUCCESS,12500
SUCCESS,12501
SUCCESS,12399
SUCCESS,16301
SUCCESS,25400
SUCCESS,24100
SUCCESS,20499
SUCCESS,13800
SUCCESS,12799
SUCCESS,12699
SUCCESS,12600
SUCCESS,12900
SUCCESS,12900
SUCCESS,12500
SUCCESS,17400
SUCCESS,13001
SUCCESS,12999
SUCCESS,12599
SUCCESS,12400
SUCCESS,12499
SUCCESS,12699
SUCCESS,12699
SUCCESS,12599
SUCCESS,12499
SUCCESS,12601
SUCCESS,15701
SUCCESS,12900
SUCCESS,12500
SUCCESS,12499
SUCCESS,12600
SUCCESS,12900
SUCCESS,17400
SUCCESS,12801
SUCCESS,12600
SUCCESS,12601
SUCCESS,12999
SUCCESS,12900
SUCCESS,12600
SUCCESS,12599
SUCCESS,12800
SUCCESS,12900
SUCCESS,12900
SUCCESS,12500
SUCCESS,12701
SUCCESS,12501
SUCCESS,12900
SUCCESS,12900
SUCCESS,12600
SUCCESS,13200
SUCCESS,18200
SUCCESS,13600
SUCCESS,12801
SUCCESS,12400
SUCCESS,12500
SUCCESS,12799
SUCCESS,12800
SUCCESS,12700
SUCCESS,12500
SUCCESS,12500
SUCCESS,12999
SUCCESS,12500
SUCCESS,12900
SUCCESS,12599
SUCCESS,12400
SUCCESS,12700
SUCCESS,12999
SUCCESS,12800
SUCCESS,12599
SUCCESS,12400
SUCCESS,12501
SUCCESS,15100
SUCCESS,12900
SUCCESS,12501
SUCCESS,18000
SUCCESS,13100
SUCCESS,13001
SUCCESS,12500
SUCCESS,12600
SUCCESS,12601
SUCCESS,12900
SUCCESS,12799
SUCCESS,12801
SUCCESS,12500
SUCCESS,12400
SUCCESS,12900
SUCCESS,12601
SUCCESS,12700
SUCCESS,12600
SUCCESS,12599
SUCCESS,31500
SUCCESS,19299
SUCCESS,17200
SUCCESS,16200
SUCCESS,13000
SUCCESS,12800
SUCCESS,12701
SUCCESS,12500
SUCCESS,13001
SUCCESS,12799
SUCCESS,13500
SUCCESS,12600
SUCCESS,12601
SUCCESS,12800
SUCCESS,13001
SUCCESS,12599
SUCCESS,12500
SUCCESS,12600
SUCCESS,13001
SUCCESS,12700
SUCCESS,12599
SUCCESS,12501
SUCCESS,12700
SUCCESS,12999
SUCCESS,13000
SUCCESS,12601
SUCCESS,13100
SUCCESS,12500
SUCCESS,13700
SUCCESS,12801
SUCCESS,12600
SUCCESS,12601
SUCCESS,12499
SUCCESS,12800
SUCCESS,12700
SUCCESS,12500
SUCCESS,12400
SUCCESS,12600
SUCCESS,12400
SUCCESS,13000
SUCCESS,12999
SUCCESS,12400
SUCCESS,12600
SUCCESS,12400
SUCCESS,13000
SUCCESS,13001
SUCCESS,12500
SUCCESS,12600
SUCCESS,15000
SUCCESS,13000
SUCCESS,12799
SUCCESS,12500
SUCCESS,13201
SUCCESS,12701
SUCCESS,12701
SUCCESS,13100
SUCCESS,12700
SUCCESS,12599
SUCCESS,12599
SUCCESS,12800
SUCCESS,13099
SUCCESS,12800
SUCCESS,12500
SUCCESS,12500
SUCCESS,13001
SUCCESS,12700
SUCCESS,12600
SUCCESS,12500
SUCCESS,12500
SUCCESS,12900
SUCCESS,14900
SUCCESS,12900
SUCCESS,12800
SUCCESS,14700
SUCCESS,14001
SUCCESS,13400
SUCCESS,12900
SUCCESS,12599
SUCCESS,12600
SUCCESS,13200
SUCCESS,12799
SUCCESS,13100
SUCCESS,12799
SUCCESS,12799
SUCCESS,13201
SUCCESS,13001
SUCCESS,12800
SUCCESS,12600
SUCCESS,12599
SUCCESS,13300
SUCCESS,12799
SUCCESS,12600
SUCCESS,14699
SUCCESS,12800
SUCCESS,13000
SUCCESS,13200
SUCCESS,12900
SUCCESS,12700
SUCCESS,12900
SUCCESS,12900
SUCCESS,13001
SUCCESS,12900
SUCCESS,12599
SUCCESS,12499
SUCCESS,13101
SUCCESS,12999
SUCCESS,13199
SUCCESS,12601
SUCCESS,12900
SUCCESS,12799
SUCCESS,12699
SUCCESS,12499
SUCCESS,12900
SUCCESS,13199
SUCCESS,12600
SUCCESS,13400
SUCCESS,14100
SUCCESS,16400
SUCCESS,13500
SUCCESS,13200
SUCCESS,12900
SUCCESS,12500
SUCCESS,12700
SUCCESS,12900
SUCCESS,12900
SUCCESS,12900
SUCCESS,13200
SUCCESS,12700
SUCCESS,12900
SUCCESS,13900
